url,imdb,kp,year,name,alternativeName,shortDescription,genres,countries
https://www.kinopoisk.ru/film/279916/,6.4,6.793,2008,Город Эмбер: Побег,City of Ember,Подростки ищут выход из подземного города на грани разрушения. Фэнтези-квест с Сиршей Ронан и Биллом Мюрреем,"['фантастика', 'фэнтези', 'триллер', 'драма', 'приключения', 'семейный']",['США']
https://www.kinopoisk.ru/film/6494/,7.5,7.178,1995,Город потерянных детей,La cité des enfants perdus,,"['фантастика', 'фэнтези', 'драма', 'приключения']","['Франция', 'Германия', 'Испания', 'Бельгия', 'США']"
https://www.kinopoisk.ru/film/1101569/,6.8,7.176,2019,День курка,Boss Level,Боец Рой попал в смертельную временную петлю. Прыткий экшен с Мэлом Гибсоном в роли финального босса,"['фантастика', 'боевик']",['США']
https://www.kinopoisk.ru/film/568258/,6,6.344,2015,Всё могу,Absolutely Anything,"Пришельцы наделяют учителя могуществом, чтобы он спас Землю. Саймон Пегг и актеры «Монти Пайтон» в комедии","['фантастика', 'комедия']",['Великобритания']
https://www.kinopoisk.ru/film/1109271/,6.3,7.277,2021,Майор Гром: Чумной Доктор,,"Самый брутальный коп Петербурга против мстителя в маске. Фееричный экшен, покоривший топ Кинопоиска и Netflix","['боевик', 'криминал', 'детектив', 'комедия']",['Россия']
https://www.kinopoisk.ru/film/957887/,8.2,8.661,2019,Клаус,Klaus,,"['мультфильм', 'семейный', 'комедия', 'приключения']","['Испания', 'Великобритания', 'США', 'Австрия', 'Канада', 'Франция']"
https://www.kinopoisk.ru/film/988782/,7,7.387,2018,Ральф против интернета,Ralph Breaks the Internet,Гонщица и здоровяк из игровых автоматов попадают в мировую сеть. Изобретательный сиквел о настоящей дружбе,"['мультфильм', 'комедия', 'приключения', 'семейный', 'фантастика']","['Япония', 'США']"
https://www.kinopoisk.ru/film/409776/,6.9,7.545,2010,Легенды ночных стражей,Legend of the Guardians: The Owls of Ga’Hoole,"Совиное царство — на пороге войны. Красочное, захватывающее фэнтези Зака Снайдера по книжным бестселлерам","['мультфильм', 'фэнтези', 'боевик', 'триллер', 'драма', 'детектив', 'приключения', 'семейный', 'военный']","['США', 'Австралия']"
https://www.kinopoisk.ru/film/939785/,7.8,8.134,2018,Остров собак,Isle of Dogs,В Японии будущего ссыльные дворняги помогают мальчику найти его пса. Очаровательная анимация Уэса Андерсона,"['мультфильм', 'фантастика', 'драма', 'комедия', 'приключения']","['США', 'Германия', 'Япония', 'Великобритания']"
https://www.kinopoisk.ru/film/592260/,7.8,8.212,2012,Эрнест и Селестина: Приключения мышки и медведя,Ernest et Célestine,Бесстрашную мышку и голодного медведя связала необычная дружба. Нежный акварельный мультфильм по книжной серии,"['мультфильм', 'фэнтези', 'драма', 'комедия', 'криминал', 'приключения', 'семейный']","['Франция', 'Бельгия', 'Люксембург', 'США']"
